"Question","KB System Answer","Ground Truth","KB Exact Accuracy","Category"
"How does acmtucson.com establish and sustain its connection with hardening through Sub_business relationship?","(witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(foundry) | (witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(foundry)","witherstool.com - Work_on -> drawing ; witherstool.com - Work_on -> welding ; witherstool.com - Belong -> foundries ; witherstool.com - Work_on -> forging ; witherstool.com - Work_on -> CNC_machining ; witherstool.com - Work_on -> reaming ; witherstool.com - Work_on -> milling ; witherstool.com - Work_on -> sharpening ; witherstool.com - Work_on -> turning ; witherstool.com - Work_on -> shaping ; witherstool.com - Work_on -> water_jet_cutting ; witherstool.com - Work_on -> grinding ; witherstool.com - Belong -> foundry ; witherstool.com - Work_on -> heat_treatment ; witherstool.com - Work_on -> plating ; witherstool.com - Work_on -> boring ; witherstool.com - Belong -> turbine ; witherstool.com - Work_on -> casting ; witherstool.com - Work_on -> drilling ; witherstool.com - Work_on -> tapping","0.4","category1"
"In what way do manufacturers like 4peabody.com interact with thermoforming through Sub_business relationships?","(witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(foundry) | (witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(foundry)","witherstool.com - Work_on -> drawing ; thermoforming - Sub_Bussiness -> forming ; witherstool.com - Work_on -> welding ; witherstool.com - Belong -> foundries ; witherstool.com - Work_on -> forging ; witherstool.com - Work_on -> CNC_machining ; witherstool.com - Work_on -> reaming ; witherstool.com - Work_on -> milling ; witherstool.com - Work_on -> sharpening ; witherstool.com - Work_on -> turning ; witherstool.com - Work_on -> shaping ; witherstool.com - Work_on -> water_jet_cutting ; witherstool.com - Work_on -> grinding ; witherstool.com - Belong -> foundry ; witherstool.com - Work_on -> heat_treatment ; witherstool.com - Work_on -> plating ; witherstool.com - Work_on -> boring ; witherstool.com - Belong -> turbine ; witherstool.com - Work_on -> casting ; witherstool.com - Work_on -> drilling ; witherstool.com - Work_on -> tapping","0.4","category1"
"In what way do manufacturers like advantechindustries.com interact with rapid_prototyping through Sub_business relationships?","(witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(foundry) | (witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(foundry)","witherstool.com - Work_on -> drawing ; witherstool.com - Work_on -> welding ; witherstool.com - Belong -> foundries ; witherstool.com - Work_on -> forging ; witherstool.com - Work_on -> CNC_machining ; witherstool.com - Work_on -> reaming ; witherstool.com - Work_on -> milling ; witherstool.com - Work_on -> sharpening ; witherstool.com - Work_on -> turning ; witherstool.com - Work_on -> shaping ; witherstool.com - Work_on -> water_jet_cutting ; witherstool.com - Work_on -> grinding ; witherstool.com - Belong -> foundry ; witherstool.com - Work_on -> heat_treatment ; witherstool.com - Work_on -> plating ; witherstool.com - Work_on -> boring ; witherstool.com - Belong -> turbine ; witherstool.com - Work_on -> casting ; witherstool.com - Work_on -> drilling ; witherstool.com - Work_on -> tapping","0.4","category1"
"What are the specific pathways through which 149401-us.all.biz maintains links to turbine via Sub_industry?","(kenoshaareachamber.com)-[:Certify]->(kenoshaareachamber.com) | (kenoshaareachamber.com)-[:Certify]->(kenoshaareachamber.com) | (kenoshaareachamber.com)-[:Certify]->(EPA) | (kenoshaareachamber.com)-[:Certify]->(kenoshaareachamber.com) | (kenoshaareachamber.com)-[:Certify]->(EPA)","kenoshaareachamber.com - Work_on -> drawing ; kenoshaareachamber.com - Work_on -> boring ; kenoshaareachamber.com - Belong -> military ; kenoshaareachamber.com - Belong -> electric ; kenoshaareachamber.com - Work_on -> stamping ; kenoshaareachamber.com - Work_on -> turning ; kenoshaareachamber.com - Work_on -> fastener ; kenoshaareachamber.com - Work_on -> 3d_printing ; kenoshaareachamber.com - Belong -> household ; kenoshaareachamber.com - Belong -> medical ; kenoshaareachamber.com - Belong -> petroleum ; kenoshaareachamber.com - Work_on -> thermoforming ; kenoshaareachamber.com - Work_on -> bending ; kenoshaareachamber.com - Work_on -> polishing ; kenoshaareachamber.com - Certify -> EPA ; kenoshaareachamber.com - Work_on -> welding ; kenoshaareachamber.com - Belong -> engine  ; kenoshaareachamber.com - Work_on -> molding ; kenoshaareachamber.com - Belong -> furniture ; kenoshaareachamber.com - Belong -> electrical","0.4","category1"
"To what extent does accuritetool.com maintain an active relationship with electric via Sub_industry relationships?","(www.hobgoodelectric.com)-[:Certify]->(www.hobgoodelectric.com) | (www.hobgoodelectric.com)-[:Certify]->(www.hobgoodelectric.com) | (www.hobgoodelectric.com)-[:Certify]->(EASA) | (www.hobgoodelectric.com)-[:Certify]->(www.hobgoodelectric.com) | (www.hobgoodelectric.com)-[:Certify]->(EASA)","witherstool.com - Work_on -> drawing ; witherstool.com - Work_on -> welding ; www.starbriteelectric.com - Belong -> electrical ; witherstool.com - Belong -> foundries ; witherstool.com - Work_on -> forging ; witherstool.com - Work_on -> CNC_machining ; witherstool.com - Work_on -> reaming ; www.starbriteelectric.com - Belong -> electric ; ecnyelectric.com - Belong -> medical ; witherstool.com - Work_on -> milling ; witherstool.com - Work_on -> sharpening ; witherstool.com - Work_on -> turning ; ecnyelectric.com - Belong -> medicalequipment ; witherstool.com - Work_on -> shaping ; electrical_discharge_machining - Sub_Bussiness -> machining ; www.hobgoodelectric.com - Certify -> EASA ; witherstool.com - Work_on -> water_jet_cutting ; electrical - Sub_Industry -> electricalequipmentapplianceandcomponentmanufacturing ; ecnyelectric.com - Belong -> commercialindustry ; witherstool.com - Work_on -> grinding ; ecnyelectric.com - Belong -> electric ; electric - Sub_Industry -> electricalequipmentapplianceandcomponentmanufacturing ; witherstool.com - Belong -> foundry ; ecnyelectric.com - Belong -> serviceindustry ; witherstool.com - Work_on -> heat_treatment ; witherstool.com - Work_on -> plating ; witherstool.com - Work_on -> boring ; staybrightelectric.com - Belong -> electric ; witherstool.com - Belong -> turbine ; www.starbriteelectric.com - Belong -> medical ; witherstool.com - Work_on -> casting ; www.hobgoodelectric.com - Belong -> electrical ; www.byrdselectricmotors.com - Belong -> electric ; witherstool.com - Work_on -> drilling ; www.hobgoodelectric.com - Belong -> electric ; ecnyelectric.com - Belong -> electrical ; witherstool.com - Work_on -> tapping","0.4","category1"
"To what extent does acmesdi.com maintain an active relationship with fabriccoating via Sub_industry relationships?","(witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(foundry) | (witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(foundry)","witherstool.com - Work_on -> drawing ; witherstool.com - Work_on -> welding ; witherstool.com - Belong -> foundries ; witherstool.com - Work_on -> forging ; witherstool.com - Work_on -> CNC_machining ; witherstool.com - Work_on -> reaming ; witherstool.com - Work_on -> milling ; witherstool.com - Work_on -> sharpening ; witherstool.com - Work_on -> turning ; witherstool.com - Work_on -> shaping ; witherstool.com - Work_on -> water_jet_cutting ; witherstool.com - Work_on -> grinding ; witherstool.com - Belong -> foundry ; witherstool.com - Work_on -> heat_treatment ; witherstool.com - Work_on -> plating ; witherstool.com - Work_on -> boring ; witherstool.com - Belong -> turbine ; witherstool.com - Work_on -> casting ; witherstool.com - Work_on -> drilling ; witherstool.com - Work_on -> tapping","0.4","category1"
"What are the specific pathways through which a-i-mfg.com maintains links to threadmill via Sub_industry?","(kenoshaareachamber.com)-[:Certify]->(kenoshaareachamber.com) | (kenoshaareachamber.com)-[:Certify]->(kenoshaareachamber.com) | (kenoshaareachamber.com)-[:Certify]->(EPA) | (kenoshaareachamber.com)-[:Certify]->(kenoshaareachamber.com) | (kenoshaareachamber.com)-[:Certify]->(EPA)","kenoshaareachamber.com - Work_on -> drawing ; kenoshaareachamber.com - Work_on -> boring ; kenoshaareachamber.com - Belong -> military ; kenoshaareachamber.com - Belong -> electric ; kenoshaareachamber.com - Work_on -> stamping ; kenoshaareachamber.com - Work_on -> turning ; kenoshaareachamber.com - Work_on -> fastener ; threadmill - Sub_Industry -> textilemills ; kenoshaareachamber.com - Work_on -> 3d_printing ; kenoshaareachamber.com - Belong -> household ; kenoshaareachamber.com - Belong -> medical ; kenoshaareachamber.com - Belong -> petroleum ; kenoshaareachamber.com - Work_on -> thermoforming ; kenoshaareachamber.com - Work_on -> bending ; kenoshaareachamber.com - Work_on -> polishing ; kenoshaareachamber.com - Certify -> EPA ; kenoshaareachamber.com - Work_on -> welding ; kenoshaareachamber.com - Belong -> engine  ; kenoshaareachamber.com - Work_on -> molding ; kenoshaareachamber.com - Belong -> furniture ; kenoshaareachamber.com - Belong -> electrical","0.4","category1"
"What are the specific pathways through which aamachineco.com maintains links to textileproduct via Sub_industry?","(kenoshaareachamber.com)-[:Certify]->(kenoshaareachamber.com) | (kenoshaareachamber.com)-[:Certify]->(kenoshaareachamber.com) | (kenoshaareachamber.com)-[:Certify]->(EPA) | (kenoshaareachamber.com)-[:Certify]->(kenoshaareachamber.com) | (kenoshaareachamber.com)-[:Certify]->(EPA)","kenoshaareachamber.com - Work_on -> drawing ; kenoshaareachamber.com - Work_on -> boring ; kenoshaareachamber.com - Belong -> military ; kenoshaareachamber.com - Belong -> electric ; kenoshaareachamber.com - Work_on -> stamping ; kenoshaareachamber.com - Work_on -> turning ; kenoshaareachamber.com - Work_on -> fastener ; kenoshaareachamber.com - Work_on -> 3d_printing ; kenoshaareachamber.com - Belong -> household ; kenoshaareachamber.com - Belong -> medical ; kenoshaareachamber.com - Belong -> petroleum ; kenoshaareachamber.com - Work_on -> thermoforming ; kenoshaareachamber.com - Work_on -> bending ; kenoshaareachamber.com - Work_on -> polishing ; kenoshaareachamber.com - Certify -> EPA ; kenoshaareachamber.com - Work_on -> welding ; kenoshaareachamber.com - Belong -> engine  ; kenoshaareachamber.com - Work_on -> molding ; kenoshaareachamber.com - Belong -> furniture ; kenoshaareachamber.com - Belong -> electrical","0.4","category1"
"What are the specific pathways through which abc-aluminum.com maintains links to engineeredwood via Sub_industry?","(kenoshaareachamber.com)-[:Certify]->(kenoshaareachamber.com) | (kenoshaareachamber.com)-[:Certify]->(kenoshaareachamber.com) | (kenoshaareachamber.com)-[:Certify]->(EPA) | (kenoshaareachamber.com)-[:Certify]->(kenoshaareachamber.com) | (kenoshaareachamber.com)-[:Certify]->(EPA)","kenoshaareachamber.com - Work_on -> drawing ; kenoshaareachamber.com - Work_on -> boring ; kenoshaareachamber.com - Belong -> military ; kenoshaareachamber.com - Belong -> electric ; kenoshaareachamber.com - Work_on -> stamping ; kenoshaareachamber.com - Work_on -> turning ; kenoshaareachamber.com - Work_on -> fastener ; kenoshaareachamber.com - Work_on -> 3d_printing ; kenoshaareachamber.com - Belong -> household ; kenoshaareachamber.com - Belong -> medical ; kenoshaareachamber.com - Belong -> petroleum ; kenoshaareachamber.com - Work_on -> thermoforming ; kenoshaareachamber.com - Work_on -> bending ; kenoshaareachamber.com - Work_on -> polishing ; kenoshaareachamber.com - Certify -> EPA ; kenoshaareachamber.com - Work_on -> welding ; kenoshaareachamber.com - Belong -> engine  ; kenoshaareachamber.com - Work_on -> molding ; kenoshaareachamber.com - Belong -> furniture ; kenoshaareachamber.com - Belong -> electrical","0.4","category1"
"To what extent does accuhcekmachining.com maintain an active relationship with commercialindustry via Sub_industry relationships?","(commercialindustry)-[:Belong]->(commercialindustry) | (commercialindustry)-[:Belong]->(commercialindustry) | (commercialindustry)-[:Certify]->(duonetics.com) | (commercialindustry)-[:Belong]->(commercialindustry) | (commercialindustry)-[:Certify]->(duonetics.com)","witherstool.com - Work_on -> drawing ; witherstool.com - Work_on -> welding ; witherstool.com - Belong -> foundries ; witherstool.com - Work_on -> forging ; witherstool.com - Work_on -> CNC_machining ; commercialindustry - Sub_Industry -> machinerymanufacturing ; witherstool.com - Work_on -> reaming ; witherstool.com - Work_on -> milling ; witherstool.com - Work_on -> sharpening ; witherstool.com - Work_on -> turning ; witherstool.com - Work_on -> shaping ; witherstool.com - Work_on -> water_jet_cutting ; witherstool.com - Work_on -> grinding ; witherstool.com - Belong -> foundry ; witherstool.com - Work_on -> heat_treatment ; witherstool.com - Work_on -> plating ; witherstool.com - Work_on -> boring ; witherstool.com - Belong -> turbine ; witherstool.com - Work_on -> casting ; witherstool.com - Work_on -> drilling ; witherstool.com - Work_on -> tapping","0.0","category1"
"How does absolutedsi.com establish and sustain its connection with milling through Sub_business relationship?","(witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(foundry) | (witherstool.com)-[:Belong]->(witherstool.com) | (witherstool.com)-[:Belong]->(foundry)","witherstool.com - Work_on -> drawing ; witherstool.com - Work_on -> welding ; witherstool.com - Belong -> foundries ; witherstool.com - Work_on -> forging ; witherstool.com - Work_on -> CNC_machining ; witherstool.com - Work_on -> reaming ; witherstool.com - Work_on -> milling ; witherstool.com - Work_on -> sharpening ; witherstool.com - Work_on -> turning ; witherstool.com - Work_on -> shaping ; witherstool.com - Work_on -> water_jet_cutting ; witherstool.com - Work_on -> grinding ; witherstool.com - Belong -> foundry ; witherstool.com - Work_on -> heat_treatment ; witherstool.com - Work_on -> plating ; witherstool.com - Work_on -> boring ; witherstool.com - Belong -> turbine ; witherstool.com - Work_on -> casting ; witherstool.com - Work_on -> drilling ; witherstool.com - Work_on -> tapping","0.4","category1"
